Conc1	3.4E-09	
Start1	813.82	
Stop1	5313.63	
Kobs	1.06132293861068E-05	
Error Kobs	9.00665991572662E-05	
Koff	0.00471693121618008	
Error Koff	NaN	
Time1	Data1	Fit1	
860.62	0.00877594	0.00863148	
860.82	0.00860242	0.00866859	
861.02	0.00822933	0.00870567	
861.22	0.00879325	0.00874272	
861.42	0.00898794	0.00877975	
861.62	0.00899455	0.00881675	
861.82	0.00933921	0.00885372	
862.02	0.00979948	0.00889066	
862.22	0.0104747	0.00892757	
862.42	0.01052025	0.00896446	
862.62	0.01028812	0.00900132	
862.82	0.01053034	0.00903815	
863.02	0.01013521	0.00907495	
863.22	0.00998872	0.00911173	
863.42	0.00992414	0.00914847	
863.62	0.00997141	0.00918519	
863.82	0.00963489	0.00922189	
864.02	0.0088871	0.00925855	
864.22	0.00806953	0.00929519	
864.42	0.00858124	0.0093318	
864.62	0.00852489	0.00936838	
864.82	0.00811401	0.00940493	
865.02	0.00830613	0.00944146	
865.22	0.00838258	0.00947796	
865.42	0.00875033	0.00951443	
865.62	0.0088511	0.00955087	
865.82	0.00966157	0.00958729	
866.02	0.01008876	0.00962368	
866.22	0.01005026	0.00966004	
866.42	0.0099212	0.00969638	
866.62	0.00963589	0.00973269	
866.82	0.01001268	0.00976897	
867.02	0.01005194	0.00980522	
867.22	0.01028857	0.00984144	
867.42	0.0102761	0.00987764	
867.62	0.00992431	0.00991381	
867.82	0.00961217	0.00994996	
868.02	0.00943527	0.00998607	
868.22	0.00935318	0.01002216	
868.42	0.00950709	0.01005823	
868.62	0.00882822	0.01009426	
868.82	0.00866665	0.01013027	
869.02	0.00797307	0.01016625	
869.22	0.0077917	0.0102022	
869.42	0.00784496	0.01023813	
869.62	0.00757115	0.01027403	
869.82	0.00744774	0.0103099	
870.02	0.0073209	0.01034575	
870.22	0.00774763	0.01038157	
870.42	0.00841486	0.01041736	
870.62	0.00882975	0.01045312	
870.82	0.00910566	0.01048886	
871.02	0.00926287	0.01052457	
871.22	0.00939679	0.01056026	
871.42	0.0095186	0.01059592	
871.62	0.00953277	0.01063155	
871.82	0.00945727	0.01066715	
872.02	0.0097858	0.01070273	
872.22	0.01014422	0.01073828	
872.42	0.01020486	0.0107738	
872.62	0.01079181	0.0108093	
872.82	0.0108443	0.01084477	
873.02	0.01029592	0.01088021	
873.22	0.01029504	0.01091563	
873.42	0.01021945	0.01095102	
873.62	0.0098166	0.01098638	
873.82	0.00937952	0.01102172	
874.02	0.00980569	0.01105703	
874.22	0.01009911	0.01109232	
874.42	0.00982074	0.01112757	
