Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
908.04	-0.0107359		
908.24	-0.01122076		
908.44	-0.01130226		
908.64	-0.01145605		
908.84	-0.01205706		
909.04	-0.01201567		
909.24	-0.0120582		
909.44	-0.01151088		
909.64	-0.01143036		
909.84	-0.01106791		
910.04	-0.01096251		
910.24	-0.01055006		
910.44	-0.01025765		
910.64	-0.00996002		
910.84	-0.00987328		
911.04	-0.0096252		
911.24	-0.00938163		
911.44	-0.00937288		
911.64	-0.00917024		
911.84	-0.00971444		
912.04	-0.01030177		
912.24	-0.01070873		
912.44	-0.01071718		
912.64	-0.01112986		
912.84	-0.01134516		
913.04	-0.01148598		
913.24	-0.01158203		
913.44	-0.01151256		
913.64	-0.01183846		
913.84	-0.01192143		
914.04	-0.01192149		
914.24	-0.01175978		
914.44	-0.01184043		
914.64	-0.01182064		
914.84	-0.01155001		
915.04	-0.01123532		
915.24	-0.0111246		
915.44	-0.0109911		
915.64	-0.01091766		
915.84	-0.01143525		
916.04	-0.01159174		
916.24	-0.01146701		
916.44	-0.01157446		
916.64	-0.0116838		
916.84	-0.01163685		
917.04	-0.01166834		
917.24	-0.01158286		
917.44	-0.01164946		
917.64	-0.01175252		
917.84	-0.01158353		
918.04	-0.01137625		
918.24	-0.01129977		
918.44	-0.01140559		
918.64	-0.01107264		
918.84	-0.01073904		
919.04	-0.01056936		
919.24	-0.01075067		
919.44	-0.01053145		
919.64	-0.01052227		
919.84	-0.01091162		
920.04	-0.01080715		
920.24	-0.01085613		
920.44	-0.01093884		
920.64	-0.01099022		
920.84	-0.01124043		
921.04	-0.01146019		
921.24	-0.01171641		
921.44	-0.01201096		
921.64	-0.01178534		
921.84	-0.01174271		
922.04	-0.01175385		
922.24	-0.01181247		
922.44	-0.01192098		
922.64	-0.01151981		
922.84	-0.01142373		
923.04	-0.01152047		
923.24	-0.01129087		
923.44	-0.01080183		
923.64	-0.01054513		
923.84	-0.01040899		
924.04	-0.01014743		
924.24	-0.00994667		
924.44	-0.00981876		
924.64	-0.01017836		
924.84	-0.01064411		
925.04	-0.01055753		
925.24	-0.01075739		
925.44	-0.01098151		
925.64	-0.0109387		
925.84	-0.01143274		
926.04	-0.01132732		
926.24	-0.01152677		
926.44	-0.01154479		
926.64	-0.01147753		
926.84	-0.01159007		
927.04	-0.01169379		
927.24	-0.01141124		
927.44	-0.01152878		
927.64	-0.01154926		
927.84	-0.01127321		
928.04	-0.01119016		
928.24	-0.01119547		
928.44	-0.01094844		
928.64	-0.01117515		
928.84	-0.01121038		
929.04	-0.0109742		
929.24	-0.01110376		
929.44	-0.01100565		
929.64	-0.0111256		
929.84	-0.01122342		
930.04	-0.01107841		
930.24	-0.01079746		
930.44	-0.01047498		
930.64	-0.01046498		
930.84	-0.01027836		
931.04	-0.01048991		
931.24	-0.01070529		
931.44	-0.01069336		
931.64	-0.01072541		
931.84	-0.01072223		
932.04	-0.01092413		
932.24	-0.01082673		
932.44	-0.010516		
932.64	-0.01104239		
932.84	-0.01107301		
933.04	-0.01141084		
933.24	-0.01146411		
933.44	-0.01162575		
933.64	-0.01196659		
933.84	-0.01191136		
934.04	-0.01182208		
934.24	-0.01164642		
934.44	-0.01190264		
934.64	-0.01211525		
934.84	-0.01202564		
935.04	-0.01235112		
935.24	-0.01238299		
935.44	-0.01221651		
935.64	-0.01247843		
935.84	-0.01231803		
936.04	-0.01212622		
936.24	-0.01201018		
936.44	-0.01162996		
936.64	-0.01168956		
936.84	-0.01132325		
937.04	-0.01117631		
937.24	-0.01115169		
937.44	-0.01113496		
937.64	-0.01110379		
937.84	-0.01111039		
938.04	-0.01115872		
938.24	-0.01126659		
938.44	-0.01104636		
938.64	-0.01080747		
938.84	-0.01086124		
939.04	-0.01095823		
939.24	-0.01121273		
939.44	-0.01116333		
939.64	-0.01135097		
939.84	-0.01139168		
940.04	-0.01130654		
940.24	-0.01125643		
940.44	-0.01090214		
940.64	-0.01083146		
940.84	-0.01070066		
941.04	-0.01042927		
941.24	-0.0105027		
941.44	-0.01038045		
941.64	-0.01049715		
941.84	-0.01076431		
942.04	-0.01087452		
942.24	-0.01077662		
942.44	-0.01081585		
942.64	-0.01108888		
942.84	-0.01150642		
943.04	-0.01179192		
943.24	-0.01247849		
943.44	-0.01276898		
943.64	-0.01285506		
943.84	-0.01307376		
944.04	-0.01323801		
944.24	-0.0133135		
944.44	-0.01339864		
944.64	-0.01315986		
944.84	-0.01309665		
945.04	-0.01262061		
945.24	-0.01282578		
945.44	-0.01285496		
945.64	-0.01262244		
945.84	-0.01255378		
946.04	-0.01229422		
946.24	-0.01216285		
946.44	-0.01216479		
946.64	-0.01215826		
946.84	-0.01206204		
947.04	-0.01205288		
947.24	-0.01198738		
947.44	-0.01191752		
947.64	-0.01177705		
947.84	-0.01198399		
948.04	-0.01267289		
948.24	-0.01261752		
948.44	-0.01260057		
948.64	-0.01264476		
948.84	-0.0127855		
949.04	-0.01311246		
949.24	-0.01344625		
949.44	-0.01301967		
949.64	-0.01303822		
949.84	-0.0132259		
950.04	-0.01329961		
950.24	-0.01323388		
950.44	-0.01286783		
950.64	-0.01227079		
950.84	-0.01182701		
951.04	-0.0116763		
951.24	-0.01158222		
951.44	-0.01175828		
951.64	-0.01173011		
951.84	-0.0116352		
952.04	-0.01187615		
952.24	-0.0116515		
952.44	-0.01163765		
952.64	-0.01153993		
952.84	-0.01160212		
953.04	-0.01166861		
953.24	-0.01173637		
953.44	-0.0119144		
953.64	-0.01213412		
953.84	-0.01212976		
954.04	-0.01227447		
954.24	-0.01209423		
954.44	-0.01197419		
954.64	-0.01205603		
954.84	-0.01236837		
955.04	-0.01251995		
955.24	-0.01277912		
955.44	-0.01283365		
955.64	-0.01305853		
955.84	-0.01320301		
956.04	-0.01301156		
956.24	-0.01315485		
956.44	-0.01293743		
956.64	-0.01258215		
956.84	-0.01261758		
957.04	-0.01252011		
957.24	-0.01271447		
957.44	-0.01254811		
957.64	-0.01213447		
957.84	-0.01228609		
958.04	-0.01234315		
958.24	-0.01219678		
958.44	-0.01197426		
958.64	-0.01207988		
958.84	-0.01200809		
959.04	-0.01204827		
959.24	-0.01244733		
959.44	-0.01242608		
959.64	-0.01224618		
959.84	-0.01224214		
960.04	-0.01188564		
960.24	-0.01212708		
960.44	-0.01185828		
960.64	-0.01196913		
960.84	-0.01200522		
961.04	-0.01213473		
961.24	-0.01236867		
961.44	-0.01249928		
961.64	-0.01247989		
961.84	-0.01261049		
962.04	-0.01264036		
962.24	-0.0121912		
962.44	-0.01209677		
962.64	-0.01263949		
962.84	-0.0126853		
963.04	-0.01266284		
963.24	-0.0129467		
963.44	-0.01274053		
963.64	-0.01274822		
963.84	-0.01293501		
964.04	-0.01266083		
964.24	-0.01278049		
964.44	-0.01269726		
964.64	-0.01279795		
964.84	-0.01261539		
965.04	-0.01274036		
965.24	-0.01291886		
965.44	-0.01261062		
965.64	-0.01209426		
965.84	-0.01211882		
966.04	-0.01227153		
966.24	-0.01230768		
966.44	-0.01258845		
966.64	-0.01280079		
966.84	-0.01248531		
967.04	-0.01266302		
967.24	-0.01288113		
967.44	-0.0129622		
967.64	-0.01299876		
967.84	-0.01295387		
968.04	-0.01316255		
968.24	-0.01274386		
968.44	-0.01250948		
968.64	-0.01259757		
968.84	-0.01278115		
969.04	-0.01284461		
969.24	-0.01313422		
969.44	-0.01294951		
969.64	-0.01309521		
969.84	-0.01348092		
970.04	-0.01394005		
970.24	-0.01411848		
970.44	-0.0138178		
970.64	-0.01368796		
970.84	-0.01365297		
971.04	-0.01360703		
971.24	-0.01365755		
971.44	-0.01367435		
971.64	-0.01355109		
971.84	-0.01373933		
972.04	-0.0133014		
972.24	-0.0126106		
972.44	-0.01249886		
972.64	-0.01263025		
972.84	-0.01300311		
973.04	-0.01291834		
973.24	-0.01280354		
973.44	-0.01257794		
973.64	-0.01232803		
973.84	-0.01234531		
974.04	-0.01243512		
974.24	-0.01228684		
974.44	-0.01213287		
974.64	-0.01192913		
974.84	-0.01199494		
975.04	-0.01188801		
975.24	-0.01222405		
975.44	-0.0124178		
975.64	-0.01279759		
975.84	-0.01292583		
976.04	-0.01289131		
976.24	-0.01304445		
976.44	-0.01336883		
976.64	-0.01383125		
976.84	-0.01437614		
977.04	-0.0140247		
977.24	-0.0139922		
977.44	-0.01384264		
977.64	-0.01354874		
977.84	-0.01392178		
978.04	-0.01372537		
978.24	-0.01342582		
978.44	-0.01347232		
978.64	-0.01322422		
978.84	-0.01321099		
979.04	-0.01330382		
979.24	-0.01346956		
979.44	-0.01325212		
979.64	-0.01326591		
979.84	-0.01334354		
980.04	-0.01352779		
980.24	-0.01366787		
980.44	-0.0140186		
980.64	-0.01383371		
980.84	-0.01387589		
981.04	-0.01363102		
981.24	-0.01380973		
981.44	-0.01368097		
981.64	-0.01390688		
981.84	-0.0139466		
982.04	-0.01417642		
982.24	-0.01442675		
982.44	-0.01444486		
982.64	-0.01439137		
982.84	-0.01471565		
983.04	-0.01489561		
983.24	-0.01458332		
983.44	-0.01403402		
983.64	-0.01405692		
983.84	-0.01440545		
984.04	-0.01413043		
984.24	-0.01429265		
984.44	-0.01387194		
984.64	-0.01345776		
984.84	-0.01323768		
985.04	-0.01325619		
985.24	-0.01363065		
985.44	-0.01330406		
985.64	-0.01337147		
985.84	-0.01308971		
986.04	-0.01340968		
986.24	-0.01309067		
986.44	-0.01294379		
986.64	-0.01357875		
986.84	-0.01402556		
987.04	-0.01412255		
987.24	-0.01428963		
987.44	-0.01408895		
987.64	-0.01404867		
987.84	-0.0145588		
988.04	-0.01463514		
988.24	-0.01473314		
988.44	-0.01435615		
988.64	-0.01450648		
988.84	-0.0146363		
989.04	-0.01482008		
989.24	-0.01475153		
989.44	-0.01442188		
989.64	-0.01415283		
989.84	-0.0137824		
990.04	-0.01360432		
990.24	-0.01324941		
990.44	-0.01345413		
990.64	-0.01353675		
990.84	-0.01336611		
991.04	-0.01346288		
991.24	-0.01340248		
991.44	-0.01296598		
991.64	-0.01306129		
991.84	-0.01344289		
992.04	-0.0135657		
992.24	-0.01338166		
992.44	-0.01324985		
992.64	-0.01372713		
992.84	-0.01394011		
993.04	-0.01415398		
993.24	-0.01405052		
993.44	-0.01432738		
993.64	-0.01418138		
993.84	-0.01420877		
994.04	-0.0141185		
994.24	-0.0139494		
994.44	-0.01423893		
994.64	-0.01382884		
994.84	-0.01347147		
995.04	-0.01365815		
995.24	-0.01357301		
995.44	-0.01370245		
995.64	-0.01369409		
995.84	-0.01327162		
996.04	-0.01340196		
996.24	-0.01342486		
996.44	-0.01333113		
996.64	-0.01357631		
996.84	-0.01345067		
997.04	-0.01346298		
997.24	-0.01341451		
997.44	-0.01393893		
997.64	-0.01388944		
997.84	-0.01386257		
998.04	-0.01399153		
998.24	-0.01400643		
998.44	-0.01388681		
998.64	-0.01326277		
998.84	-0.01294123		
999.04	-0.01319377		
999.24	-0.01302178		
999.44	-0.01329667		
999.64	-0.01313107		
999.84	-0.01309992		
1000.04	-0.01327732		
1000.24	-0.01306097		
1000.44	-0.01273504		
1000.64	-0.01293451		
1000.84	-0.01329832		
1001.04	-0.01358914		
1001.24	-0.01411326		
1001.44	-0.01448705		
1001.64	-0.01450635		
1001.84	-0.01479649		
1002.04	-0.01511478		
1002.24	-0.01520654		
1002.44	-0.01504726		
1002.64	-0.0150123		
1002.84	-0.01478973		
1003.04	-0.01484517		
1003.24	-0.01474252		
1003.44	-0.01482688		
1003.64	-0.01453451		
1003.84	-0.01439938		
1004.04	-0.01401836		
1004.24	-0.01372301		
1004.44	-0.01382921		
1004.64	-0.01419271		
1004.84	-0.01428325		
1005.04	-0.01415546		
1005.24	-0.01426124		
1005.44	-0.01402701		
1005.64	-0.0136105		
1005.84	-0.01375116		
1006.04	-0.01364934		
1006.24	-0.0136682		
1006.44	-0.01359822		
1006.64	-0.01352511		
1006.84	-0.01347143		
1007.04	-0.01371239		
1007.24	-0.01357963		
1007.44	-0.013523		
1007.64	-0.01348794		
1007.84	-0.01360141		
1008.04	-0.01372365		
1008.24	-0.01394873		
1008.44	-0.01408717		
1008.64	-0.0143106		
1008.84	-0.01424406		
1009.04	-0.01440853		
1009.24	-0.01432661		
1009.44	-0.01412294		
1009.64	-0.01388789		
1009.84	-0.01396291		
1010.04	-0.01383725		
1010.24	-0.01361691		
1010.44	-0.0137704		
1010.64	-0.0138749		
1010.84	-0.01397714		
1011.04	-0.01392938		
1011.24	-0.0135886		
1011.44	-0.01360846		
1011.64	-0.01383413		
1011.84	-0.01414847		
1012.04	-0.01421726		
1012.24	-0.01443156		
1012.44	-0.0144926		
1012.64	-0.01496053		
1012.84	-0.0150399		
1013.04	-0.01520958		
1013.24	-0.01487838		
1013.44	-0.01515343		
1013.64	-0.01495494		
1013.84	-0.01469499		
1014.04	-0.01460281		
1014.24	-0.01454866		
1014.44	-0.01502615		
1014.64	-0.01492589		
1014.84	-0.01479095		
1015.04	-0.01446174		
1015.24	-0.01429924		
1015.44	-0.01436925		
1015.64	-0.01432195		
1015.84	-0.01413451		
1016.04	-0.01414961		
1016.24	-0.01427278		
1016.44	-0.014254		
1016.64	-0.013862		
1016.84	-0.01379072		
1017.04	-0.01373138		
1017.24	-0.01360089		
1017.44	-0.01390939		
1017.64	-0.0137863		
1017.84	-0.01374307		
1018.04	-0.01430362		
1018.24	-0.01440556		
1018.44	-0.01469405		
1018.64	-0.0149334		
1018.84	-0.01508828		
1019.04	-0.01515994		
1019.24	-0.01548772		
1019.44	-0.01545656		
1019.64	-0.0153777		
1019.84	-0.0153844		
1020.04	-0.01558246		
1020.24	-0.01527818		
1020.44	-0.01554874		
1020.64	-0.01555583		
1020.84	-0.01603955		
1021.04	-0.01581041		
1021.24	-0.01542244		
1021.44	-0.01496854		
1021.64	-0.01499881		
1021.84	-0.01487979		
1022.04	-0.01494677		
1022.24	-0.0146177		
1022.44	-0.01476874		
1022.64	-0.01503517		
1022.84	-0.01491625		
1023.04	-0.01478393		
1023.24	-0.01461475		
1023.44	-0.01452242		
1023.64	-0.01441649		
1023.84	-0.01426106		
1024.04	-0.01420505		
1024.24	-0.01401309		
1024.44	-0.01392925		
1024.64	-0.01413751		
1024.84	-0.01389304		
1025.04	-0.01345509		
1025.24	-0.01336598		
1025.44	-0.01353608		
