Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
895.04	-0.01098098		
895.24	-0.01105137		
895.44	-0.01082427		
895.64	-0.01067781		
895.84	-0.01081965		
896.04	-0.01080567		
896.24	-0.01057249		
896.44	-0.01047252		
896.64	-0.01058906		
896.84	-0.010972		
897.04	-0.01104707		
897.24	-0.01114505		
897.44	-0.01132916		
897.64	-0.01145454		
897.84	-0.01103657		
898.04	-0.01081969		
898.24	-0.01092697		
898.44	-0.01096235		
898.64	-0.01088071		
898.84	-0.01115378		
899.04	-0.01129763		
899.24	-0.01111453		
899.44	-0.01075643		
899.64	-0.01063679		
899.84	-0.01061141		
900.04	-0.01027714		
900.24	-0.01005963		
900.44	-0.01032515		
900.64	-0.01062448		
900.84	-0.01096376		
901.04	-0.01093162		
901.24	-0.01110008		
901.44	-0.0113983		
901.64	-0.01148788		
901.84	-0.01107112		
902.04	-0.01115351		
902.24	-0.01125231		
902.44	-0.01166811		
902.64	-0.01164309		
902.84	-0.01166673		
903.04	-0.01117963		
903.24	-0.01094401		
903.44	-0.01093277		
903.64	-0.01076904		
903.84	-0.01104923		
904.04	-0.01101152		
904.24	-0.01132913		
904.44	-0.01160011		
904.64	-0.01201119		
904.84	-0.01250255		
905.04	-0.01263553		
905.24	-0.01280143		
905.44	-0.0128295		
905.64	-0.0125947		
905.84	-0.01209044		
906.04	-0.01193919		
906.24	-0.01190786		
906.44	-0.01196295		
906.64	-0.0114936		
906.84	-0.01100098		
907.04	-0.01098333		
907.24	-0.01101497		
907.44	-0.01090873		
907.64	-0.0108434		
907.84	-0.01098184		
908.04	-0.01052924		
908.24	-0.01075539		
908.44	-0.01081377		
908.64	-0.01112239		
908.84	-0.01125006		
909.04	-0.0111124		
909.24	-0.01094258		
909.44	-0.01089738		
909.64	-0.01089454		
909.84	-0.01096702		
910.04	-0.01115861		
910.24	-0.0114987		
910.44	-0.01163486		
910.64	-0.01165691		
910.84	-0.01188743		
911.04	-0.01196876		
911.24	-0.01178427		
911.44	-0.01203215		
911.64	-0.0118994		
911.84	-0.01184835		
912.04	-0.01208048		
912.24	-0.01233614		
912.44	-0.01245053		
912.64	-0.01220504		
912.84	-0.01220999		
913.04	-0.01239874		
913.24	-0.0121453		
913.44	-0.01229703		
913.64	-0.01227008		
913.84	-0.01229219		
914.04	-0.01241037		
914.24	-0.01246178		
914.44	-0.01227503		
914.64	-0.0122524		
914.84	-0.01237146		
915.04	-0.01239846		
915.24	-0.01231444		
915.44	-0.01255713		
915.64	-0.01243275		
915.84	-0.01246597		
916.04	-0.01257483		
916.24	-0.01234481		
916.44	-0.01234451		
916.64	-0.01207425		
916.84	-0.01215997		
917.04	-0.01214898		
917.24	-0.0117438		
917.44	-0.01175859		
917.64	-0.01176415		
917.84	-0.01208833		
918.04	-0.012317		
918.24	-0.01203882		
918.44	-0.01205787		
918.64	-0.01213335		
918.84	-0.01190515		
919.04	-0.01192419		
919.24	-0.01179559		
919.44	-0.01170651		
919.64	-0.01158509		
919.84	-0.01167052		
920.04	-0.01172426		
920.24	-0.01174397		
920.44	-0.01147947		
920.64	-0.01124733		
920.84	-0.01140107		
921.04	-0.01110525		
921.24	-0.01079706		
921.44	-0.01078016		
921.64	-0.01107959		
921.84	-0.01124129		
922.04	-0.01119922		
922.24	-0.01089952		
922.44	-0.01080662		
922.64	-0.01073958		
922.84	-0.01093145		
923.04	-0.01093334		
923.24	-0.01073048		
923.44	-0.01068598		
923.64	-0.0111889		
923.84	-0.01173586		
924.04	-0.01190061		
924.24	-0.01192427		
924.44	-0.01176248		
924.64	-0.01228505		
924.84	-0.01221501		
925.04	-0.01186098		
925.24	-0.01191325		
925.44	-0.01183034		
925.64	-0.0117209		
925.84	-0.01134929		
926.04	-0.01117437		
926.24	-0.01087642		
926.44	-0.01120306		
926.64	-0.01162309		
926.84	-0.01162093		
927.04	-0.01107476		
927.24	-0.01124508		
927.44	-0.01127557		
927.64	-0.01154677		
927.84	-0.01164099		
928.04	-0.01132997		
928.24	-0.011265		
928.44	-0.01148795		
928.64	-0.01179042		
928.84	-0.01126624		
929.04	-0.01119259		
929.24	-0.01130214		
929.44	-0.01096208		
929.64	-0.01085993		
929.84	-0.01089853		
930.04	-0.01117636		
930.24	-0.01130387		
930.44	-0.01165978		
930.64	-0.01167366		
930.84	-0.01146631		
931.04	-0.01150507		
931.24	-0.01169104		
931.44	-0.01121141		
931.64	-0.01128494		
931.84	-0.01138868		
932.04	-0.01158104		
932.24	-0.01193813		
932.44	-0.0117856		
932.64	-0.01171894		
932.84	-0.01138812		
933.04	-0.01145688		
933.24	-0.01169833		
933.44	-0.01158025		
933.64	-0.01150113		
933.84	-0.01160155		
934.04	-0.01136223		
934.24	-0.01135517		
934.44	-0.01135117		
934.64	-0.01162506		
934.84	-0.01182041		
935.04	-0.01215989		
935.24	-0.01242149		
935.44	-0.01241217		
935.64	-0.01296307		
935.84	-0.01325837		
936.04	-0.0138955		
936.24	-0.01372409		
936.44	-0.01347352		
936.64	-0.01341101		
936.84	-0.01347341		
937.04	-0.01358667		
937.24	-0.013452		
937.44	-0.01329032		
937.64	-0.01303816		
937.84	-0.01255054		
938.04	-0.01205752		
938.24	-0.01231957		
938.44	-0.0122218		
938.64	-0.01204378		
938.84	-0.01179965		
939.04	-0.01128709		
939.24	-0.01106928		
939.44	-0.0110914		
939.64	-0.01122171		
939.84	-0.01119147		
940.04	-0.01172274		
940.24	-0.01142012		
940.44	-0.01171942		
940.64	-0.01176905		
940.84	-0.01197795		
941.04	-0.01200442		
941.24	-0.01182326		
941.44	-0.01206189		
941.64	-0.01198916		
941.84	-0.011774		
942.04	-0.01173405		
942.24	-0.01192309		
942.44	-0.01171517		
942.64	-0.01101857		
942.84	-0.01044867		
943.04	-0.00985275		
943.24	-0.0099142		
943.44	-0.01056151		
943.64	-0.01054733		
943.84	-0.01072242		
944.04	-0.01080011		
944.24	-0.01082819		
944.44	-0.01125885		
944.64	-0.01125894		
944.84	-0.0115448		
945.04	-0.01207831		
945.24	-0.01232297		
945.44	-0.01295008		
945.64	-0.01310795		
945.84	-0.01287785		
946.04	-0.01275128		
946.24	-0.01262169		
946.44	-0.01257565		
946.64	-0.01195122		
946.84	-0.01135758		
947.04	-0.01100794		
947.24	-0.01104957		
947.44	-0.01134187		
947.64	-0.01061733		
947.84	-0.0107359		
948.04	-0.01076112		
948.24	-0.01087932		
948.44	-0.01084141		
948.64	-0.01070742		
948.84	-0.01091124		
949.04	-0.01133608		
949.24	-0.01128002		
949.44	-0.01153007		
949.64	-0.01190637		
949.84	-0.0117551		
950.04	-0.01178758		
950.24	-0.0117704		
950.44	-0.01233436		
950.64	-0.01203505		
950.84	-0.01201742		
951.04	-0.01211703		
951.24	-0.01245723		
951.44	-0.01265054		
951.64	-0.01254968		
951.84	-0.01277267		
952.04	-0.01238878		
952.24	-0.01183924		
952.44	-0.01118513		
952.64	-0.0109036		
952.84	-0.01079805		
953.04	-0.01058082		
953.24	-0.010384		
953.44	-0.01049081		
953.64	-0.01063648		
953.84	-0.01008696		
954.04	-0.0103793		
954.24	-0.01052268		
954.44	-0.01078697		
954.64	-0.01078841		
954.84	-0.01089536		
955.04	-0.01089402		
955.24	-0.01095391		
955.44	-0.01091041		
955.64	-0.01072453		
955.84	-0.01062886		
956.04	-0.0105868		
956.24	-0.01039438		
956.44	-0.01015299		
956.64	-0.00986514		
956.84	-0.01021582		
957.04	-0.01023002		
957.24	-0.01035436		
957.44	-0.01062613		
957.64	-0.01051441		
957.84	-0.01055033		
958.04	-0.010945		
958.24	-0.01082029		
958.44	-0.01061327		
958.64	-0.01074889		
958.84	-0.01081824		
959.04	-0.01079539		
959.24	-0.01076161		
959.44	-0.01091026		
959.64	-0.01094961		
959.84	-0.01106612		
960.04	-0.0111737		
960.24	-0.01129498		
960.44	-0.01159771		
960.64	-0.01149797		
960.84	-0.01210107		
961.04	-0.01218275		
961.24	-0.01225319		
961.44	-0.01250958		
961.64	-0.01256636		
961.84	-0.01282208		
962.04	-0.01282974		
962.24	-0.01279274		
962.44	-0.0124897		
962.64	-0.01273291		
962.84	-0.01261469		
963.04	-0.01251233		
963.24	-0.01252229		
963.44	-0.01259439		
963.64	-0.01237358		
963.84	-0.01213406		
964.04	-0.0123277		
964.24	-0.01242526		
964.44	-0.01225939		
964.64	-0.01214058		
964.84	-0.0122743		
965.04	-0.01259293		
965.24	-0.01262135		
965.44	-0.01275416		
965.64	-0.0127548		
965.84	-0.01249679		
966.04	-0.01236345		
966.24	-0.01239448		
966.44	-0.01209362		
966.64	-0.01193972		
966.84	-0.01188175		
967.04	-0.01212299		
967.24	-0.01184988		
967.44	-0.01152627		
967.64	-0.01123608		
967.84	-0.01113426		
968.04	-0.01145424		
968.24	-0.01163233		
968.44	-0.01165531		
968.64	-0.01228161		
968.84	-0.0120691		
969.04	-0.01241972		
969.24	-0.01207802		
969.44	-0.01205552		
969.64	-0.01169297		
969.84	-0.01190402		
970.04	-0.01231596		
970.24	-0.0124422		
970.44	-0.01210116		
970.64	-0.01220312		
970.84	-0.01242526		
971.04	-0.01249018		
971.24	-0.01225462		
971.44	-0.01254438		
971.64	-0.012689		
971.84	-0.01264852		
972.04	-0.01281597		
972.24	-0.01287902		
972.44	-0.01256578		
972.64	-0.01245551		
972.84	-0.01178533		
973.04	-0.01225338		
973.24	-0.01179927		
973.44	-0.01162781		
973.64	-0.01142902		
973.84	-0.01185057		
974.04	-0.01189824		
974.24	-0.01204889		
974.44	-0.01200211		
974.64	-0.01214895		
974.84	-0.01229582		
975.04	-0.01210205		
975.24	-0.01197004		
975.44	-0.01223288		
975.64	-0.01229108		
975.84	-0.01238259		
976.04	-0.01247274		
976.24	-0.01260336		
976.44	-0.01259347		
976.64	-0.01288117		
976.84	-0.01310363		
977.04	-0.01355309		
977.24	-0.0131351		
977.44	-0.0130508		
977.64	-0.01314486		
977.84	-0.01307375		
978.04	-0.0131021		
978.24	-0.01349341		
978.44	-0.01306347		
978.64	-0.01294588		
978.84	-0.01267485		
979.04	-0.01222802		
979.24	-0.01200032		
979.44	-0.01218556		
979.64	-0.01230662		
979.84	-0.01226494		
980.04	-0.01237504		
980.24	-0.01247778		
980.44	-0.01259057		
980.64	-0.01261932		
980.84	-0.01255991		
981.04	-0.01240389		
981.24	-0.01205108		
981.44	-0.01207841		
981.64	-0.01222084		
981.84	-0.0123877		
982.04	-0.01264087		
982.24	-0.01278634		
982.44	-0.0127601		
982.64	-0.01309886		
982.84	-0.01313871		
983.04	-0.01310462		
983.24	-0.01307405		
983.44	-0.01319464		
983.64	-0.0133028		
983.84	-0.01342735		
984.04	-0.0134905		
984.24	-0.01350077		
984.44	-0.01291173		
984.64	-0.01253145		
984.84	-0.01236611		
985.04	-0.01213561		
985.24	-0.01184765		
985.44	-0.01220039		
985.64	-0.01214162		
985.84	-0.01222647		
986.04	-0.01227715		
986.24	-0.01245863		
986.44	-0.01280442		
986.64	-0.01277901		
986.84	-0.01269423		
987.04	-0.01230715		
987.24	-0.01234115		
987.44	-0.01234527		
987.64	-0.01258849		
987.84	-0.01273601		
988.04	-0.01284214		
988.24	-0.01296908		
988.44	-0.01262701		
988.64	-0.01287145		
988.84	-0.01285065		
989.04	-0.01303097		
989.24	-0.01298027		
989.44	-0.01299614		
989.64	-0.01279385		
989.84	-0.01273801		
990.04	-0.0124956		
990.24	-0.01214372		
990.44	-0.01167048		
990.64	-0.01103311		
990.84	-0.01079484		
991.04	-0.01065688		
991.24	-0.01080692		
991.44	-0.01119674		
991.64	-0.01154046		
991.84	-0.01205578		
992.04	-0.01259366		
992.24	-0.01316423		
992.44	-0.01309491		
992.64	-0.01310162		
992.84	-0.01329842		
993.04	-0.01341834		
993.24	-0.01295556		
993.44	-0.01291965		
993.64	-0.01303244		
993.84	-0.0126806		
994.04	-0.01230152		
994.24	-0.01217156		
994.44	-0.01189117		
994.64	-0.01195088		
994.84	-0.0125791		
995.04	-0.01266584		
995.24	-0.01293552		
995.44	-0.0135132		
995.64	-0.01388134		
995.84	-0.01435728		
996.04	-0.01434513		
996.24	-0.0142765		
996.44	-0.01396003		
996.64	-0.01377645		
996.84	-0.01359597		
997.04	-0.01322861		
997.24	-0.01295434		
997.44	-0.01327125		
997.64	-0.01318709		
997.84	-0.01288429		
998.04	-0.01284405		
998.24	-0.01281432		
998.44	-0.01246972		
998.64	-0.01263621		
998.84	-0.01288382		
999.04	-0.0125922		
999.24	-0.01290697		
999.44	-0.01287265		
999.64	-0.01289841		
999.84	-0.01285725		
1000.04	-0.0126869		
1000.24	-0.01308259		
1000.44	-0.01366706		
1000.64	-0.01365073		
1000.84	-0.01374036		
1001.04	-0.01378587		
1001.24	-0.01387939		
1001.44	-0.01434038		
1001.64	-0.01418099		
1001.84	-0.01405293		
1002.04	-0.01380475		
1002.24	-0.01363367		
1002.44	-0.01314255		
1002.64	-0.01306164		
1002.84	-0.01265628		
1003.04	-0.01230299		
1003.24	-0.01193849		
1003.44	-0.0117564		
1003.64	-0.01175304		
1003.84	-0.01162191		
1004.04	-0.01197826		
1004.24	-0.01255097		
1004.44	-0.01307356		
1004.64	-0.01290812		
1004.84	-0.01303471		
1005.04	-0.01314341		
1005.24	-0.01366445		
1005.44	-0.0141068		
1005.64	-0.01428741		
1005.84	-0.01489447		
1006.04	-0.01503813		
1006.24	-0.01522846		
1006.44	-0.01504382		
1006.64	-0.01487699		
1006.84	-0.01443612		
1007.04	-0.01437946		
1007.24	-0.01443379		
1007.44	-0.01430893		
1007.64	-0.01368245		
1007.84	-0.01367688		
1008.04	-0.01370135		
1008.24	-0.01383712		
1008.44	-0.01374868		
1008.64	-0.01366709		
1008.84	-0.01358171		
1009.04	-0.01360387		
1009.24	-0.01373413		
1009.44	-0.01338722		
1009.64	-0.0133534		
1009.84	-0.01362616		
1010.04	-0.01349962		
1010.24	-0.01315501		
1010.44	-0.0131135		
1010.64	-0.01260427		
1010.84	-0.01264885		
1011.04	-0.01282033		
1011.24	-0.01273134		
1011.44	-0.01247304		
1011.64	-0.01236534		
1011.84	-0.01277169		
1012.04	-0.01280442		
1012.24	-0.01328835		
1012.44	-0.01317581		
1012.64	-0.01340237		
1012.84	-0.0132568		
1013.04	-0.01305148		
1013.24	-0.0127784		
1013.44	-0.01235922		
1013.64	-0.01225367		
1013.84	-0.01235295		
1014.04	-0.01223195		
1014.24	-0.01208425		
1014.44	-0.0126084		
1014.64	-0.01255719		
1014.84	-0.01320014		
1015.04	-0.01306364		
1015.24	-0.01321993		
1015.44	-0.0132972		
1015.64	-0.01362056		
1015.84	-0.01387272		
1016.04	-0.01410199		
1016.24	-0.01443798		
1016.44	-0.01404493		
1016.64	-0.01423491		
1016.84	-0.01440605		
1017.04	-0.01452284		
1017.24	-0.01429869		
1017.44	-0.01414952		
1017.64	-0.01384849		
1017.84	-0.01414762		
1018.04	-0.01424661		
1018.24	-0.01458211		
1018.44	-0.01505554		
1018.64	-0.01491867		
1018.84	-0.01481782		
1019.04	-0.01428762		
1019.24	-0.01434296		
1019.44	-0.01448383		
1019.64	-0.01440155		
1019.84	-0.01394067		
1020.04	-0.01396113		
1020.24	-0.01365883		
1020.44	-0.01337278		
1020.64	-0.01368605		
1020.84	-0.01336716		
1021.04	-0.0134568		
1021.24	-0.01301698		
1021.44	-0.01296561		
1021.64	-0.01282446		
1021.84	-0.01326495		
1022.04	-0.01307066		
1022.24	-0.01302273		
1022.44	-0.01342697		
1022.64	-0.01344995		
1022.84	-0.01324534		
1023.04	-0.01311252		
1023.24	-0.01328902		
1023.44	-0.01341949		
1023.64	-0.01303577		
1023.84	-0.01329793		
1024.04	-0.01344745		
1024.24	-0.01325086		
1024.44	-0.01342349		
1024.64	-0.01331742		
1024.84	-0.01312714		
1025.04	-0.01354953		
1025.24	-0.0133519		
1025.44	-0.01337506		
1025.64	-0.01315626		
1025.84	-0.0133131		
1026.04	-0.01320675		
1026.24	-0.01291344		
1026.44	-0.01317018		
1026.64	-0.01272466		
1026.84	-0.01240511		
1027.04	-0.01232365		
1027.24	-0.01231848		
