DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
4.816667,-0.000561,,,,,,
4.833333,-0.000459,,,,,,
4.85,0.000082,,,,,,
4.866667,0.001194,,,,,,
4.883333,0.001625,,,,,,
4.9,0.001969,,,,,,
4.916667,0.001338,,,,,,
4.933333,-0.000192,,,,,,
4.95,-0.001823,,,,,,
4.966667,-0.001771,,,,,,
4.983333,-0.000836,,,,,,
5,-0.000371,,,,,,
5.016667,0.000824,,,,,,
5.033333,0.000641,,,,,,
5.05,0.000039,,,,,,
5.066667,-0.000922,,,,,,
5.083333,-0.001584,,,,,,
5.1,-0.001434,,,,,,
5.116667,-0.001115,,,,,,
5.133333,-0.001395,,,,,,
5.15,-0.001256,,,,,,
5.166667,-0.001066,,,,,,
5.183333,-0.001237,,,,,,
5.2,-0.000738,,,,,,
5.216667,0.00075,,,,,,
5.233333,0.001278,,,,,,
5.25,0.002135,,,,,,
5.266667,0.002443,,,,,,
5.283333,0.001847,,,,,,
5.3,0.000111,,,,,,
5.316667,-0.000175,,,,,,
5.333333,-0.000861,,,,,,
5.35,-0.001172,,,,,,
5.366667,-0.000543,,,,,,
5.383333,-0.000844,,,,,,
5.4,-0.001788,,,,,,
5.416667,-0.001466,,,,,,
5.433333,-0.001404,,,,,,
5.45,-0.002472,,,,,,
5.466667,-0.001495,,,,,,
5.483333,-0.000692,,,,,,
5.5,-0.001558,,,,,,
5.516667,-0.001505,,,,,,
5.533333,-0.000919,,,,,,
5.55,-0.001805,,,,,,
5.566667,-0.002301,,,,,,
5.583333,-0.001947,,,,,,
5.6,-0.002933,,,,,,
5.616667,-0.002719,,,,,,
5.633333,-0.001655,,,,,,
5.65,-0.000494,,,,,,
5.666667,0.00038,,,,,,
5.683333,0.001284,,,,,,
5.7,0.000588,,,,,,
5.716667,0.000436,,,,,,
5.733333,-0.00031,,,,,,
5.75,-0.000925,,,,,,
5.766667,-0.001061,,,,,,
5.783333,-0.001015,,,,,,
5.8,-0.00114,,,,,,
5.816667,0.000004,,,,,,
5.833333,-0.000672,,,,,,
5.85,-0.001167,,,,,,
5.866667,-0.001031,,,,,,
5.883333,-0.000316,,,,,,
5.9,-0.001994,,,,,,
5.916667,-0.001347,,,,,,
5.933333,-0.000881,,,,,,
5.95,-0.000424,,,,,,
5.966667,-0.001612,,,,,,
5.983333,-0.000634,,,,,,
6,-0.000205,,,,,,
6.016667,-0.001216,,,,,,
6.033333,-0.001363,,,,,,
6.05,0.009344,,,,,,
6.066667,0.029222,,,,,,
6.083333,0.054146,,,,,,
6.1,0.081154,,,,,,
6.116667,0.106482,,,,,,
6.133333,0.10829,,,,,,
6.15,0.088571,,,,,,
6.166667,0.056073,,,,,,
6.183333,0.016084,,,,,,
6.2,-0.025985,,,,,,
6.216667,-0.055149,,,,,,
6.233333,-0.069956,,,,,,
6.25,-0.071944,,,,,,
6.266667,-0.065561,,,,,,
6.283333,-0.05462,,,,,,
6.3,-0.041484,,,,,,
6.316667,-0.027939,,,,,,
6.333333,-0.018072,,,,,,
6.35,-0.010172,,,,,,
6.366667,-0.005102,,,,,,
6.383333,-0.002402,,,,,,
6.4,-0.001482,,,,,,
6.416667,-0.0001,,,,,,
6.433333,0.000341,,,,,,
6.45,0.000102,,,,,,
6.466667,0.000345,,,,,,
6.483333,0.000032,,,,,,
6.5,-0.00055,,,,,,
6.516667,-0.001943,,,,,,
6.533333,-0.000132,,,,,,
6.55,0.001644,,,,,,
6.566667,0.00155,,,,,,
6.583333,0.001366,,,,,,
6.6,0.000919,,,,,,
6.616667,0.000133,,,,,,
6.633333,0.000076,,,,,,
6.65,0.001145,,,,,,
6.666667,0.001745,,,,,,
6.683333,0.001635,,,,,,
6.7,0.000625,,,,,,
6.716667,-0.000118,,,,,,
6.733333,0.000029,,,,,,
6.75,-0.000023,,,,,,
6.766667,0.001314,,,,,,
