DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
5.85,0.000874,,,,,,
5.866667,-0.000349,,,,,,
5.883333,0.000518,,,,,,
5.9,-0.000725,,,,,,
5.916667,-0.000407,,,,,,
5.933333,-0.000629,,,,,,
5.95,-0.000302,,,,,,
5.966667,-0.001173,,,,,,
5.983333,0.000235,,,,,,
6,0.000364,,,,,,
6.016667,0.001182,,,,,,
6.033333,-0.00186,,,,,,
6.05,-0.001046,,,,,,
6.066667,0.000288,,,,,,
6.083333,-0.000121,,,,,,
6.1,0.008244,,,,,,
6.116667,0.008868,,,,,,
6.133333,-0.009537,,,,,,
6.15,-0.037221,,,,,,
6.166667,-0.070011,,,,,,
6.183333,-0.10475,,,,,,
6.2,-0.13334,,,,,,
6.216667,-0.146679,,,,,,
6.233333,-0.150518,,,,,,
6.25,-0.146978,,,,,,
6.266667,-0.135577,,,,,,
6.283333,-0.119396,,,,,,
6.3,-0.102244,,,,,,
6.316667,-0.086283,,,,,,
6.333333,-0.071952,,,,,,
6.35,-0.060911,,,,,,
6.366667,-0.051769,,,,,,
6.383333,-0.044798,,,,,,
6.4,-0.037726,,,,,,
6.416667,-0.031545,,,,,,
6.433333,-0.024653,,,,,,
6.45,-0.019652,,,,,,
6.466667,-0.0155,,,,,,
6.483333,-0.012658,,,,,,
6.5,-0.008817,,,,,,
6.516667,-0.006135,,,,,,
6.533333,-0.004063,,,,,,
6.55,-0.001762,,,,,,
6.566667,0.00118,,,,,,
6.583333,0.002458,,,,,,
6.6,0.002001,,,,,,
6.616667,0.001613,,,,,,
6.633333,0.001605,,,,,,
6.65,0.002155,,,,,,
6.666667,0.001802,,,,,,
6.683333,0.00127,,,,,,
6.7,0.000698,,,,,,
6.716667,0.000005,,,,,,
6.733333,-0.001169,,,,,,
6.75,-0.001423,,,,,,
6.766667,-0.002306,,,,,,
6.783333,-0.001492,,,,,,
6.8,-0.001411,,,,,,
6.816667,-0.001761,,,,,,
6.833333,-0.001382,,,,,,
6.85,-0.000669,,,,,,
6.866667,-0.000006,,,,,,
6.883333,0.001177,,,,,,
6.9,0.001707,,,,,,
6.916667,0.001427,,,,,,
6.933333,0.001427,,,,,,
6.95,-0.000723,,,,,,
6.966667,-0.002748,,,,,,
6.983333,-0.004023,,,,,,
7,-0.002787,,,,,,
7.016667,-0.001422,,,,,,
7.033333,0.001805,,,,,,
7.05,0.003666,,,,,,
7.066667,0.004837,,,,,,
7.083333,0.003152,,,,,,
7.1,0.002395,,,,,,
7.116667,0.002338,,,,,,
7.133333,0.002661,,,,,,
7.15,0.002302,,,,,,
7.166667,0.002941,,,,,,
7.183333,0.00378,,,,,,
7.2,0.004409,,,,,,
7.216667,0.004499,,,,,,
7.233333,0.003625,,,,,,
7.25,0.002211,,,,,,
7.266667,0.001467,,,,,,
7.283333,0.001342,,,,,,
7.3,0.000577,,,,,,
7.316667,0.000512,,,,,,
7.333333,0.000977,,,,,,
7.35,0.00159,,,,,,
7.366667,0.001674,,,,,,
7.383333,0.002348,,,,,,
7.4,0.001991,,,,,,
7.416667,0.001614,,,,,,
7.433333,0.000706,,,,,,
7.45,0.000249,,,,,,
7.466667,-0.00098,,,,,,
7.483333,0.000242,,,,,,
7.5,0.000093,,,,,,
7.516667,0.000354,,,,,,
7.533333,0.000264,,,,,,
7.55,0.001044,,,,,,
7.566667,-0.000336,,,,,,
7.583333,-0.000627,,,,,,
7.6,-0.000618,,,,,,
7.616667,-0.00092,,,,,,
7.633333,-0.000232,,,,,,
7.65,0.000676,,,,,,
7.666667,-0.000017,,,,,,
7.683333,-0.00099,,,,,,
7.7,-0.000733,,,,,,
7.716667,-0.001328,,,,,,
7.733333,-0.001072,,,,,,
7.75,0.000643,,,,,,
7.766667,0.001258,,,,,,
7.783333,-0.000078,,,,,,
7.8,-0.000325,,,,,,
7.816667,-0.001161,,,,,,
7.833333,-0.001898,,,,,,
7.85,-0.002556,,,,,,
7.866667,-0.000494,,,,,,
7.883333,-0.000522,,,,,,
7.9,-0.00008,,,,,,
7.916667,0.000411,,,,,,
7.933333,0.001741,,,,,,
7.95,0.000712,,,,,,
7.966667,0.000692,,,,,,
7.983333,0.001302,,,,,,
8,0.000391,,,,,,
8.016667,-0.000409,,,,,,
8.033333,-0.00132,,,,,,
8.05,-0.000861,,,,,,
8.066667,-0.001813,,,,,,
8.083333,-0.000774,,,,,,
8.1,0.000544,,,,,,
8.116667,0.001732,,,,,,
8.133333,0.00159,,,,,,
8.15,0.001337,,,,,,
8.166667,0.000325,,,,,,
8.183333,-0.000868,,,,,,
8.2,-0.00018,,,,,,
8.216667,-0.000123,,,,,,
8.233333,0.000114,,,,,,
8.25,-0.000869,,,,,,
8.266667,-0.001042,,,,,,
8.283333,-0.001656,,,,,,
8.3,-0.001279,,,,,,
8.316667,-0.000562,,,,,,
8.333333,0.000974,,,,,,
8.35,0.001181,,,,,,
8.366667,0.001708,,,,,,
8.383333,0.001164,,,,,,
8.4,0.001221,,,,,,
8.416667,0.000658,,,,,,
8.433333,0.000815,,,,,,
8.45,-0.000148,,,,,,
8.466667,-0.000911,,,,,,
8.483333,-0.002104,,,,,,
8.5,-0.002837,,,,,,
8.516667,-0.00303,,,,,,
8.533333,-0.006403,,,,,,
8.55,-0.005149,,,,,,
8.566667,-0.002885,,,,,,
8.583333,-0.001727,,,,,,
8.6,0.008994,,,,,,
8.616667,0.012535,,,,,,
8.633333,-0.001744,,,,,,
8.65,-0.0275,,,,,,
8.666667,-0.061192,,,,,,
8.683333,-0.099024,,,,,,
8.7,-0.131786,,,,,,
8.716667,-0.150248,,,,,,
8.733333,-0.1563,,,,,,
8.75,-0.152551,,,,,,
8.766667,-0.140273,,,,,,
8.783333,-0.123605,,,,,,
8.8,-0.106146,,,,,,
8.816667,-0.090397,,,,,,
8.833333,-0.077409,,,,,,
8.85,-0.06677,,,,,,
8.866667,-0.057591,,,,,,
8.883333,-0.049731,,,,,,
8.9,-0.043922,,,,,,
8.916667,-0.037793,,,,,,
8.933333,-0.031593,,,,,,
8.95,-0.027364,,,,,,
8.966667,-0.023814,,,,,,
8.983333,-0.019514,,,,,,
9,-0.016295,,,,,,
9.016667,-0.014895,,,,,,
9.033333,-0.012994,,,,,,
9.05,-0.011174,,,,,,
9.066667,-0.010064,,,,,,
9.083333,-0.009213,,,,,,
9.1,-0.007863,,,,,,
9.116667,-0.006072,,,,,,
9.133333,-0.005181,,,,,,
9.15,-0.00368,,,,,,
9.166667,-0.002319,,,,,,
9.183333,-0.000908,,,,,,
9.2,0.000604,,,,,,
9.216667,0.001145,,,,,,
9.233333,0.000477,,,,,,
9.25,0.000999,,,,,,
9.266667,0.001751,,,,,,
9.283333,0.000997,,,,,,
9.3,0.000726,,,,,,
9.316667,0.001485,,,,,,
9.333333,0.000142,,,,,,
9.35,0.000148,,,,,,
9.366667,-0.000756,,,,,,
9.383333,-0.000509,,,,,,
9.4,-0.000578,,,,,,
9.416667,-0.000575,,,,,,
9.433333,0.000259,,,,,,
9.45,0.002022,,,,,,
9.466667,0.003006,,,,,,
9.483333,0.00209,,,,,,
9.5,0.001954,,,,,,
9.516667,0.001768,,,,,,
9.533333,0.000343,,,,,,
9.55,-0.001003,,,,,,
9.566667,-0.000948,,,,,,
9.583333,-0.001283,,,,,,
9.6,-0.002358,,,,,,
9.616667,-0.001523,,,,,,
9.633333,-0.001347,,,,,,
9.65,-0.002292,,,,,,
9.666667,-0.001886,,,,,,
9.683333,-0.00036,,,,,,
9.7,-0.000164,,,,,,
9.716667,0.000343,,,,,,
9.733333,0.00233,,,,,,
9.75,0.003086,,,,,,
9.766667,0.002153,,,,,,
9.783333,0.00163,,,,,,
9.8,0.001488,,,,,,
9.816667,0.001305,,,,,,
9.833333,0.000963,,,,,,
9.85,0.001101,,,,,,
9.866667,0.000729,,,,,,
9.883333,0.000807,,,,,,
9.9,-0.000415,,,,,,
9.916667,-0.001206,,,,,,
9.933333,-0.000627,,,,,,
9.95,0.000192,,,,,,
9.966667,0.000192,,,,,,
9.983333,0.001331,,,,,,
10,0.001881,,,,,,
10.016667,0.001771,,,,,,
10.033333,0.000551,,,,,,
10.05,0.000691,,,,,,
10.066667,0.000832,,,,,,
10.083333,0.001042,,,,,,
10.1,0.001273,,,,,,
10.116667,0.001294,,,,,,
10.133333,0.000395,,,,,,
10.15,-0.000374,,,,,,
10.166667,-0.001052,,,,,,
10.183333,-0.001571,,,,,,
10.2,-0.00141,,,,,,
10.216667,-0.001469,,,,,,
10.233333,-0.000448,,,,,,
10.25,0.000453,,,,,,
10.266667,0.000984,,,,,,
10.283333,0.001805,,,,,,
10.3,0.002245,,,,,,
10.316667,0.001286,,,,,,
10.333333,0.000626,,,,,,
10.35,-0.000134,,,,,,
10.366667,-0.000974,,,,,,
10.383333,-0.000234,,,,,,
10.4,-0.000644,,,,,,
10.416667,-0.000626,,,,,,
10.433333,-0.001297,,,,,,
10.45,-0.000468,,,,,,
10.466667,-0.00181,,,,,,
10.483333,-0.002073,,,,,,
10.5,-0.002526,,,,,,
10.516667,-0.001428,,,,,,
10.533333,-0.001552,,,,,,
10.55,0.000513,,,,,,
10.566667,0.001679,,,,,,
10.583333,0.001774,,,,,,
10.6,0.001838,,,,,,
10.616667,0.001482,,,,,,
10.633333,0.000296,,,,,,
10.65,0.00024,,,,,,
10.666667,0.000532,,,,,,
10.683333,0.000364,,,,,,
10.7,0.001657,,,,,,
10.716667,0.000538,,,,,,
10.733333,0.000428,,,,,,
10.75,0.000608,,,,,,
10.766667,-0.000462,,,,,,
10.783333,-0.001543,,,,,,
10.8,-0.000575,,,,,,
10.816667,-0.000547,,,,,,
10.833333,-0.00124,,,,,,
10.85,-0.000034,,,,,,
10.866667,-0.000949,,,,,,
10.883333,-0.001964,,,,,,
10.9,-0.00269,,,,,,
10.916667,-0.001457,,,,,,
10.933333,-0.002145,,,,,,
10.95,-0.001672,,,,,,
10.966667,-0.000802,,,,,,
10.983333,0.000428,,,,,,
11,0.000078,,,,,,
11.016667,0.000947,,,,,,
11.033333,-0.006934,,,,,,
11.05,-0.009926,,,,,,
11.066667,-0.010828,,,,,,
11.083333,-0.010639,,,,,,
11.1,0.008775,,,,,,
11.116667,0.025239,,,,,,
11.133333,0.023263,,,,,,
11.15,0.005055,,,,,,
11.166667,-0.027523,,,,,,
11.183333,-0.06522,,,,,,
11.2,-0.102027,,,,,,
11.216667,-0.126065,,,,,,
11.233333,-0.136574,,,,,,
11.25,-0.137223,,,,,,
11.266667,-0.131153,,,,,,
11.283333,-0.121343,,,,,,
11.3,-0.110894,,,,,,
11.316667,-0.102374,,,,,,
11.333333,-0.095155,,,,,,
11.35,-0.087027,,,,,,
11.366667,-0.077899,,,,,,
11.383333,-0.068071,,,,,,
11.4,-0.056853,,,,,,
11.416667,-0.045856,,,,,,
11.433333,-0.037039,,,,,,
11.45,-0.029612,,,,,,
11.466667,-0.023176,,,,,,
11.483333,-0.0196,,,,,,
11.5,-0.015694,,,,,,
11.516667,-0.011498,,,,,,
11.533333,-0.006795,,,,,,
11.55,-0.004497,,,,,,
11.566667,-0.002139,,,,,,
11.583333,-0.001206,,,,,,
11.6,-0.001637,,,,,,
11.616667,-0.002558,,,,,,
11.633333,-0.002689,,,,,,
11.65,-0.002453,,,,,,
11.666667,-0.002112,,,,,,
11.683333,-0.002091,,,,,,
11.7,-0.00116,,,,,,
11.716667,-0.00087,,,,,,
11.733333,-0.001298,,,,,,
11.75,-0.001406,,,,,,
11.766667,-0.000994,,,,,,
11.783333,-0.001326,,,,,,
11.8,-0.000661,,,,,,
11.816667,0.000114,,,,,,
11.833333,0.000419,,,,,,
11.85,0.001735,,,,,,
11.866667,0.002691,,,,,,
11.883333,0.002097,,,,,,
11.9,0.002053,,,,,,
11.916667,0.00307,,,,,,
11.933333,0.002756,,,,,,
11.95,0.001893,,,,,,
11.966667,0.00208,,,,,,
11.983333,0.001988,,,,,,
12,0.001215,,,,,,
12.016667,0.001853,,,,,,
12.033333,0.002792,,,,,,
12.05,0.002971,,,,,,
12.066667,0.00259,,,,,,
12.083333,0.003069,,,,,,
12.1,0.002419,,,,,,
12.116667,0.001669,,,,,,
12.133333,0.00213,,,,,,
12.15,0.003251,,,,,,
12.166667,0.003673,,,,,,
12.183333,0.002705,,,,,,
12.2,0.002847,,,,,,
12.216667,0.001831,,,,,,
12.233333,0.000255,,,,,,
12.25,-0.000461,,,,,,
12.266667,0.000553,,,,,,
12.283333,-0.000021,,,,,,
12.3,0.000606,,,,,,
12.316667,0.000762,,,,,,
12.333333,0.000129,,,,,,
12.35,-0.000533,,,,,,
12.366667,-0.000114,,,,,,
12.383333,0.000305,,,,,,
12.4,0.000795,,,,,,
12.416667,0.001776,,,,,,
12.433333,0.001778,,,,,,
12.45,0.001889,,,,,,
12.466667,0.001823,,,,,,
12.483333,0.001237,,,,,,
12.5,0.000672,,,,,,
12.516667,0.001126,,,,,,
12.533333,0.001533,,,,,,
12.55,0.00186,,,,,,
12.566667,0.001777,,,,,,
12.583333,0.001125,,,,,,
12.6,0.001415,,,,,,
12.616667,0.000285,,,,,,
12.633333,-0.001076,,,,,,
12.65,-0.001935,,,,,,
12.666667,-0.001443,,,,,,
12.683333,-0.002121,,,,,,
12.7,-0.001078,,,,,,
12.716667,-0.000625,,,,,,
12.733333,0.000289,,,,,,
12.75,-0.000007,,,,,,
12.766667,0.000807,,,,,,
12.783333,0.000413,,,,,,
12.8,-0.000061,,,,,,
12.816667,-0.000475,,,,,,
12.833333,-0.000139,,,,,,
12.85,-0.001281,,,,,,
12.866667,-0.001193,,,,,,
12.883333,-0.000836,,,,,,
12.9,-0.000357,,,,,,
12.916667,-0.000418,,,,,,
12.933333,-0.000449,,,,,,
12.95,-0.000199,,,,,,
12.966667,-0.000989,,,,,,
12.983333,-0.000958,,,,,,
13,-0.001027,,,,,,
13.016667,-0.000986,,,,,,
13.033333,-0.001183,,,,,,
13.05,-0.00017,,,,,,
13.066667,-0.000127,,,,,,
13.083333,-0.000064,,,,,,
13.1,0.001061,,,,,,
13.116667,0.001025,,,,,,
13.133333,0.00118,,,,,,
13.15,0.001546,,,,,,
13.166667,0.001523,,,,,,
13.183333,0.0006,,,,,,
13.2,-0.000202,,,,,,
13.216667,-0.000294,,,,,,
13.233333,-0.000774,,,,,,
13.25,0.000075,,,,,,
13.266667,0.000575,,,,,,
13.283333,0.001526,,,,,,
13.3,0.001398,,,,,,
13.316667,0.00131,,,,,,
13.333333,0.000772,,,,,,
13.35,0.000426,,,,,,
13.366667,0.000061,,,,,,
13.383333,-0.000685,,,,,,
13.4,-0.00015,,,,,,
13.416667,-0.000484,,,,,,
13.433333,-0.000618,,,,,,
13.45,-0.000412,,,,,,
13.466667,-0.000174,,,,,,
13.483333,-0.001056,,,,,,
13.5,-0.001538,,,,,,
13.516667,-0.001349,,,,,,
13.533333,-0.011627,,,,,,
13.55,-0.015971,,,,,,
13.566667,-0.015794,,,,,,
13.583333,-0.01378,,,,,,
13.6,0.010389,,,,,,
13.616667,0.031567,,,,,,
13.633333,0.032836,,,,,,
13.65,0.016397,,,,,,
13.666667,-0.014243,,,,,,
13.683333,-0.049483,,,,,,
13.7,-0.085373,,,,,,
13.716667,-0.111116,,,,,,
13.733333,-0.125121,,,,,,
13.75,-0.127496,,,,,,
13.766667,-0.124211,,,,,,
13.783333,-0.113824,,,,,,
13.8,-0.101878,,,,,,
13.816667,-0.089911,,,,,,
13.833333,-0.079565,,,,,,
13.85,-0.070847,,,,,,
13.866667,-0.064929,,,,,,
13.883333,-0.058801,,,,,,
13.9,-0.053013,,,,,,
13.916667,-0.048614,,,,,,
13.933333,-0.044145,,,,,,
13.95,-0.040006,,,,,,
13.966667,-0.035046,,,,,,
13.983333,-0.031036,,,,,,
14,-0.027496,,,,,,
14.016667,-0.023145,,,,,,
