DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
4.283333,0.000188,,,,,,
4.3,-0.000401,,,,,,
4.316667,-0.000851,,,,,,
4.333333,-0.0006,,,,,,
4.35,-0.00083,,,,,,
4.366667,-0.00012,,,,,,
4.383333,0.000641,,,,,,
4.4,-0.000499,,,,,,
4.416667,-0.001089,,,,,,
4.433333,-0.000999,,,,,,
4.45,0.000561,,,,,,
4.466667,0.000831,,,,,,
4.483333,0.001311,,,,,,
4.5,0.001473,,,,,,
4.516667,0.000854,,,,,,
4.533333,-0.000844,,,,,,
4.55,-0.000893,,,,,,
4.566667,-0.000832,,,,,,
4.583333,-0.001,,,,,,
4.6,-0.000897,,,,,,
4.616667,-0.001682,,,,,,
4.633333,-0.002228,,,,,,
4.65,-0.002724,,,,,,
4.666667,-0.003189,,,,,,
4.683333,-0.003325,,,,,,
4.7,-0.003598,,,,,,
4.716667,-0.002139,,,,,,
4.733333,-0.00016,,,,,,
4.75,0.000908,,,,,,
4.766667,0.001797,,,,,,
4.783333,0.002955,,,,,,
4.8,0.003168,,,,,,
4.816667,0.002373,,,,,,
4.833333,0.003537,,,,,,
4.85,0.004681,,,,,,
4.866667,0.004936,,,,,,
4.883333,0.00383,,,,,,
4.9,0.003648,,,,,,
4.916667,0.002547,,,,,,
4.933333,0.000826,,,,,,
4.95,-0.000475,,,,,,
4.966667,-0.002075,,,,,,
4.983333,-0.003946,,,,,,
5,-0.005366,,,,,,
5.016667,-0.005556,,,,,,
5.033333,-0.004356,,,,,,
5.05,-0.003446,,,,,,
5.066667,-0.002465,,,,,,
5.083333,-0.001125,,,,,,
5.1,-0.000115,,,,,,
5.116667,-0.000075,,,,,,
5.133333,0.001175,,,,,,
5.15,0.002516,,,,,,
5.166667,0.002736,,,,,,
5.183333,0.002446,,,,,,
5.2,0.003666,,,,,,
5.216667,0.004767,,,,,,
5.233333,0.005108,,,,,,
5.25,0.003658,,,,,,
5.266667,0.003429,,,,,,
5.283333,0.001199,,,,,,
5.3,-0.000792,,,,,,
5.316667,-0.001434,,,,,,
5.333333,-0.001016,,,,,,
5.35,-0.002118,,,,,,
5.366667,-0.00154,,,,,,
5.383333,-0.001222,,,,,,
5.4,-0.0026,,,,,,
5.416667,-0.002329,,,,,,
5.433333,-0.002598,,,,,,
5.45,-0.003687,,,,,,
5.466667,-0.004566,,,,,,
5.483333,-0.004445,,,,,,
5.5,-0.005671,,,,,,
5.516667,-0.004408,,,,,,
5.533333,-0.002836,,,,,,
